feature,importance
wavelet_energy_d1,0.09089804094768483
V4_range,0.03657512056424835
I_var,0.03325275346249185
I_range,0.03236394238756533
V6_std,0.03011321902732023
wavelet_std_a4,0.029637324856667816
V1_std,0.028593787410937814
V1_var,0.02792169258284775
V1_range,0.024214566507735506
I_std,0.02421092681873423
V6_var,0.022121110937359932
aVL_var,0.021894942828624833
V5_range,0.021642567519572904
V5_std,0.01877581948932084
V4_var,0.018053897515221202
V4_std,0.01805360361102835
V5_var,0.016850781075468658
V6_range,0.015642862647737774
V3_range,0.014501493931263817
aVL_range,0.011182752442439043
V3_min,0.010343188775254857
wavelet_std_d1,0.009992936490926502
wavelet_energy_a4,0.00977037178152735
I_iqr,0.00959769639388685
V6_max,0.009322264404792537
V5_min,0.0086212316393937
V3_var,0.008475676750291955
V4_min,0.008389388359070979
V6_min,0.008190031277071103
V1_mean,0.008019523968756373
V6_mean,0.008003275855729594
V3_skew,0.007577444617849059
III_range,0.007514086231935118
aVL_std,0.0073663212319263534
aVL_max,0.007183450386732998
V3_kurt,0.006816446555259803
V5_mean,0.006400198855484552
V3_q25,0.0060183002443438115
V5_max,0.005902313945100779
I_min,0.005509402190844021
III_var,0.005334726496436336
age,0.004820496003710066
V1_skew,0.0047063042625535186
V6_skew,0.004567427286865395
II_RR_iqr,0.004528644212589246
V4_skew,0.004521640190470122
wavelet_std_d4,0.004139596927424346
V1_q75,0.00413697789885927
aVF_range,0.003879568391311142
PR_interval_range,0.0038749436686560646
II_range,0.0037648775157069396
aVF_q25,0.0036709780320461497
wavelet_std_d3,0.0036153206312110765
wavelet_std_d2,0.00356266795923302
II_q25,0.0035320514384684317
HRV_SDSD,0.003461810409090832
V4_q25,0.0034435176461250043
I_max,0.00334072295268014
V3_std,0.003338368008940102
III_min,0.0033008066632262104
HRV_MCVNN,0.0032532621278594243
V6_q75,0.0032290543795365427
V1_min,0.002944143086724194
wavelet_energy_d2,0.0029399992220804604
V6_median,0.002866176342841637
V2_q75,0.0027772735362264615
QRS_duration_min,0.002740145601968259
V2_skew,0.0026723627804535054
HRV_SDRMSSD,0.002668231376349932
HRV_HTI,0.0026564129050632816
aVF_skew,0.002648242381205193
I_skew,0.0025302660819478337
QRS_duration_median,0.002520697284144155
ST_slope_mean,0.0025074781437997417
V3_mean,0.002480569497139624
II_std,0.0024153335980496337
ST_segment_max,0.0024020254986898467
ST_slope_max,0.0023632543120311847
II_var,0.0022589022181225757
QRS_duration_q25,0.0020944326711987787
aVL_mean,0.002074189508365119
V6_q25,0.0020700432647355834
V5_iqr,0.002063124368368869
V2_iqr,0.00204131271765815
HRV_CVNN,0.002010930487735717
P_wave_duration_range,0.0019709087912588704
II_RR_max,0.0019307811735537455
PR_interval_skew,0.001901788710343921
II_skew,0.001877287606370169
V1_max,0.0018517866625908902
aVF_min,0.0018506341401311878
V6_iqr,0.0018411892443786187
V2_min,0.001825060085153205
rhythm_analysis_RR_interval_median,0.0017999606595316066
HRV_IQRNN,0.0017967691004773048
QT_interval_var,0.001789488135908086
III_kurt,0.0017470927503705088
V2_max,0.001718391966584468
II_max,0.0017083761048830501
aVF_kurt,0.00168961243008463
rhythm_analysis_RR_interval_mean,0.0016649395159000176
QT_interval_skew,0.0016559775332667863
ST_segment_q75,0.0016549559294448605
ST_slope_var,0.0016383335150718184
QRS_duration_mean,0.0016149395860493262
PR_interval_var,0.0016036487318741744
V3_iqr,0.0015963405713545532
ST_slope_min,0.001557522730179175
P_wave_duration_var,0.0015537305913121422
PR_segment_kurt,0.0015186973228147726
V2_std,0.0015052813407136836
ST_slope_kurt,0.0014929691894893756
PR_segment_range,0.0014859200633344388
II_min,0.001479580042786975
QRS_duration_iqr,0.0014732301828213406
I_q25,0.0014687961109201043
V4_kurt,0.0014622553496017028
V2_mean,0.001436935549327561
ST_segment_std,0.0014237541052418488
QT_interval_mean,0.001404092589975491
II_q75,0.0013896610563079513
QT_interval_q25,0.001386285195728162
II_RR_q25,0.0013723605138247492
aVL_min,0.001357932494680504
II_RR_std,0.0013557676951628714
II_RR_range,0.0013547123850644943
PR_segment_std,0.0013257891081143362
HRV_TINN,0.0013211166603613563
QT_interval_median,0.001315407740990645
V4_mean,0.0012928110296366166
V4_median,0.0012885181367721685
QRS_duration_max,0.001287192492259616
HRV_Prc20NN,0.0012818771716785733
HRV_MinNN,0.001281654256843483
ST_segment_mean,0.0012637490400624967
wavelet_energy_d4,0.0012559412326586866
aVL_kurt,0.001246073950798901
PR_segment_median,0.0012148166182602848
II_median,0.0012068625567008492
ST_slope_q75,0.001205889818159459
V5_q25,0.0012055232369195853
V5_median,0.0012000066378612657
III_skew,0.0011976187390768966
QT_interval_iqr,0.0011938000890463379
V1_iqr,0.0011835581070197207
V5_skew,0.0011545820367297635
ST_segment_min,0.001147642484694064
V3_median,0.0011472021583481516
HRV_Prc80NN,0.0011224881938692375
HRV_MadNN,0.0011122666960871389
V5_kurt,0.0011076174511649947
ST_slope_q25,0.0010956833716538384
QRS_duration_range,0.0010926335825597606
V2_kurt,0.001077497064117563
I_kurt,0.001076121754775328
