fold_idx,ckpt_path,score
1,/juice2/scr2/kelvinkn/other_work/edwards/physionet2025/ensemble_transformer/trained_model_20250720_203732/fold1-best-epoch=06-val_challenge_score=0.3844.ckpt,0.3844
2,/juice2/scr2/kelvinkn/other_work/edwards/physionet2025/ensemble_transformer/trained_model_20250720_203732/fold2-best-epoch=06-val_challenge_score=0.4334.ckpt,0.4334
3,/juice2/scr2/kelvinkn/other_work/edwards/physionet2025/ensemble_transformer/trained_model_20250720_203732/fold3-best-epoch=05-val_challenge_score=0.3584.ckpt,0.3584
4,/juice2/scr2/kelvinkn/other_work/edwards/physionet2025/ensemble_transformer/trained_model_20250720_203732/fold4-best-epoch=04-val_challenge_score=0.3959.ckpt,0.3959
5,/juice2/scr2/kelvinkn/other_work/edwards/physionet2025/ensemble_transformer/trained_model_20250720_203732/fold5-best-epoch=06-val_challenge_score=0.4490.ckpt,0.4490
